"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"22",14.2614981693971,13.6929042028029,14.3260946815,12.8145922400646,14.5596004891318,14.428972127893,13.859796487541,14.2332003793702,14.7040362640688,14.331034088949,14.2366766317426,14.4814610190885,14.7905991515806,14.7604189280332,14.320098988858,14.3283148774928,14.6775432004791,14.6170270217058
"23",14.3046883987653,13.5413357632433,14.358061198906,13.3236217238043,14.500376216538,14.3072719780983,13.7650933166303,14.2608224882237,14.6504722404323,14.3895315148912,14.1838557831566,14.451670018519,14.9046740892882,14.6115800549113,14.2553122846201,14.2180849720447,14.6134347876401,14.6076299161031
"24",14.2462573907523,13.4726606138795,14.2587001500082,13.084497608575,14.5854558484638,14.3415195008374,14.0090499864498,14.3570898650393,14.6149534994807,14.4059517642607,14.1794855184034,14.7092605581228,14.7742201405367,14.6196626767863,14.118146563298,14.4369208220379,14.6572422702207,14.6002148932395
"25",14.1883202573412,13.4798229915253,14.1474058237151,13.2289859877414,14.608213234196,14.2027656331196,13.9779951584243,14.1024366353756,14.7326996080737,14.347661852292,14.128189994171,14.6228368074427,14.916462522825,14.527993799162,14.3837256048375,14.5900296789984,14.8664738323998,14.5335107982831
"26",14.2205458661235,13.3383596445088,14.1929708654446,12.9918642315416,14.6030422670202,14.315253014712,13.579879448004,14.3694371144613,14.7885962362649,14.4122577591042,14.2687387691371,14.6050392963624,14.7519484239711,14.5022911683583,14.2324357233741,14.4135609302792,14.7334530487379,14.6075745892544
"27",14.2697129385842,13.5262667906804,14.2682118788043,13.1022937589182,14.5963995737784,14.2512877629086,13.6889480476576,14.3126595931636,14.4271819204098,14.4452406310198,14.3756391127196,14.6600400028376,14.7669601535308,14.6270149077418,14.1952119112813,14.439880007782,14.5955539293208,14.5500785164091
"28",14.3128086283789,13.193658630633,14.2384125766966,13.1863436962498,14.7173763258041,14.2547224523739,14.1514395930924,14.5646971424802,14.7356557717776,14.3335638557031,14.206311537428,14.5355805559966,14.8081135124664,14.5747090636027,14.2147396831889,14.3916218685569,14.6068237765814,14.4530414867802
"29",14.1643211987905,13.2216979517283,14.2873369159848,13.2064925277784,14.5090164228239,14.3314069204228,13.7133711677478,14.2418185942837,14.6605497802598,14.4500544042473,14.3053463147533,14.6030958527194,14.8474911386777,14.4448767258806,14.1303462963804,14.4158876214777,14.5481421627331,14.6427638143961
"30",14.2734945616401,13.1724813062161,14.1170710797767,13.1412204137671,14.5877736423812,14.2188078459949,13.7939797665315,14.3100216955338,14.5555573802513,14.2926878283936,14.2297406144804,14.6809813426671,14.8065166396705,14.6122381886175,14.1702282954321,14.4040321720596,14.5347334519083,14.5530643790378
"31",14.3874781059235,12.9973480653856,14.2064909985653,13.4673903548808,14.5604708077457,14.2548617400196,13.8665942282594,14.4171624824973,14.6635812082319,14.2200563500765,14.2360580631488,14.6108405481995,14.854393719855,14.7438134537885,14.3842609445917,14.3595494447677,14.6549192077862,14.5793127828432
"32",14.4368120750733,13.5430493773109,14.1522321495901,13.4344262343052,14.5427966880069,14.3247405319393,13.6713561066107,14.4260859511769,14.7184722695278,14.3054991800945,14.4389927954195,14.6164324735526,14.7727761731416,14.5653609877875,14.3111710488753,14.3251421833949,14.7823569876819,14.8015626146632
"33",14.3105435335176,12.9986998999696,14.3531906570374,13.124842151007,14.6148822855792,14.2804846625175,13.9559469978125,14.396186189359,14.6941739308118,14.3103103705807,14.3786263982731,14.5552839678112,14.778156481401,14.6817124586982,14.4085052047482,14.3598514589836,14.7253507187529,14.6893765125994
"34",14.5336887754731,13.0139863007363,14.3831048603679,12.9117281179672,14.65952056429,14.2285797696975,14.1248348035104,14.4085809985558,14.6624177798224,14.2490299236797,14.4014674696343,14.5382043204913,14.8795635428566,14.8116718995373,14.2561784808272,14.3040518652727,14.67136558758,14.6465252935893
"35",14.701843950281,13.8063417419281,14.3481761663742,13.6337913462435,14.5511997790074,14.3495446651144,13.7773250886558,14.3237570971779,14.6440101922147,14.3023913628273,14.2327299981398,14.7175756277429,14.8855327626343,14.641589149514,14.3978274584841,14.345808342562,14.6480755082302,14.5701615168685
"36",14.3914725066961,14.1695606730582,14.4079421469325,13.7081815631081,14.61210719093,14.2685717824231,13.6903564876426,14.2975108640544,14.6502517539753,14.1788642059511,14.3232064020705,14.9063265639769,14.6795894874874,14.6583517451156,14.3212771070288,14.3555021224113,14.4857215426647,14.5975737565246
"37",14.359892632997,13.8003104643535,14.2996810922836,13.4199543083742,14.5052502727072,14.3246064689158,13.9932586486605,14.2737926290051,14.5715223243288,14.2122823516712,14.3054194384652,14.6349722736986,14.7573577893696,14.5687544056773,14.2788474573951,14.4129878816607,14.6730280850594,14.5944046242905
"38",14.3258089324477,13.52070954951,14.4149047670164,13.3094219408113,14.5537741175665,14.2208558069505,13.8310244950538,14.3053556908875,14.5671849654502,14.4415642084559,14.4469766554438,14.6098751669417,14.9645762087246,14.7024252123385,14.3356913778163,14.3591569338036,14.6411710858942,14.5740924210206
"39",14.2539996915277,13.0288107844819,14.3643897855186,13.1684050635569,14.6044236312986,14.3144249707485,13.9988450980564,14.3688607527575,14.7287246149106,14.3159368149361,14.1191085397746,14.6644101232664,14.7459074728925,14.5542158236924,14.2050610186755,14.2739529024864,14.7497739038601,14.6639020515365
"40",14.0455620972793,13.335201267413,14.0911183753255,13.1736634182553,14.5498975018911,14.4020388332328,13.9092960313152,14.3315726069145,14.768563336888,14.1560471708122,14.2744907071384,14.7212003136908,14.7762320189738,14.7482621465082,14.0185451713684,14.3851925445374,14.6434910347074,14.6657460665133
"41",14.0593134748731,13.3972060674662,14.192106278018,13.2242026900373,14.6143303032249,14.4189580198263,13.9537218394035,14.3533135423587,14.6798922464478,14.089380577161,14.187639822485,14.5683556597906,14.8792276757358,14.7056552204293,14.2683363123691,14.3745946257513,14.6092863277719,14.4807167929222
"42",14.2554410113885,13.0654598109322,14.2885488071528,13.1211084300026,14.653290294217,14.3764325051416,13.8784248310576,14.2363729495688,14.7304429208834,13.9988647450357,14.1590301493311,14.495996794435,14.7267430789046,14.6711798898479,14.2966595728855,14.3847546945948,14.564438260875,14.5804963728378
"43",13.980751454327,12.6094833390187,14.3269005892796,13.4386028592187,14.7648556248635,14.3093783466142,13.7879320116112,14.4256791823049,14.6343658259087,13.9481793423171,14.0103305623394,14.633009114712,14.7549459528477,14.6660978664813,14.2834058675898,14.269682133354,14.4215149079146,14.6029556586432
"44",14.1603475923246,13.0160664051693,14.2165835096207,13.3355613125833,14.7347503636676,14.3437072418988,13.7549543439532,14.4488133188893,14.5066126840024,13.9453084324363,14.1002010435176,14.3035582137191,14.7487811887509,14.7609929291109,14.2838980768204,14.3948599015765,14.6411507086036,14.6075211023923
"45",14.3399367027819,13.1510972584685,14.370334154212,13.5161554610087,14.6431749814913,14.2697444864076,13.8158309373256,14.3744159309849,14.4557722481157,14.0979918328878,14.0302852269882,14.5789054996803,14.7826620662917,14.687523103739,14.2300858677813,14.4131648373505,14.6901103991259,14.5920217694523
"46",14.4888933985154,13.5714420062323,14.2204084082176,13.3910521259701,14.6063649472154,14.3366612142975,13.747732287977,14.4769328647159,14.582442822433,14.2711234950648,14.0002390481688,14.701478364395,14.7447407930849,14.8146598521937,14.2824558890691,14.4663215513128,14.7232902406836,14.6014772658345
"47",14.3304212567567,13.572601774994,14.2859959966349,13.2649827726732,14.5835084569027,14.2626919796145,13.8584366168459,14.37305828148,14.5239180537715,14.2319946349724,14.1512064721166,14.6918191406923,14.8981491602521,14.588913761856,14.4364155835379,14.4913864554772,14.7442287498842,14.5738810715288
"48",14.4062218342244,13.3714534385193,14.2652594664276,13.450804578868,14.535912972477,14.3648644982337,13.9282712601992,14.4206745150403,14.5392885242026,14.2076850163526,14.1871917458055,14.7927191934361,14.7136531578528,14.7915139974488,14.3300077092466,14.5844714129219,14.5368107183416,14.6044149701392
"49",14.1151254643367,13.2506915583564,14.3021636375726,13.2019822411053,14.6555421912089,14.3648116660896,14.2086805123706,14.2518042350072,14.4838117318603,14.2435689511833,13.8308311021611,14.7740661476366,14.7301111732288,14.8181212545682,14.346181788965,14.509272803014,14.7157526422894,14.5627067219251
"50",14.4039009756409,13.2805468793791,14.3296509597613,13.1021197849056,14.6800020647851,14.2970360933806,13.9402250886267,14.3245874404856,14.3673240368894,14.2991821597488,14.0608509109142,14.5771995387558,14.5987208434939,14.780387373034,14.223486756543,14.4937965574673,14.669505489325,14.6240763796037
"51",14.3063149813957,13.1583798828765,14.1601023268742,13.1466906089215,14.6368182788798,14.3582273121888,13.7692205315254,14.1309122103744,14.4300729628895,14.1823007032887,14.3338351497183,14.5538559717109,14.7843101307383,14.7083795719141,14.306712200526,14.2719850568938,14.4540268625837,14.5361714536628
"52",14.5404249335555,13.1802043103859,14.1660705781384,13.4396499300521,14.7646062893502,14.3293181350692,13.8956036842124,14.2831851226651,14.4752408637306,14.2701844697985,14.1641935864793,14.5604862297061,14.8333538006003,14.5959623292144,14.2509118746939,14.3368691469611,14.5733501542778,14.5423594647162
"53",14.2768443071809,13.2388697457845,14.1265151410475,13.1908736299657,14.722031945351,14.2539276915693,13.7991219716254,14.3474678127381,14.4484339461129,14.290203358292,14.5218396889835,14.5589871635982,14.761591439801,14.7380628928826,14.4021642427875,14.4873650736415,14.5697994603687,14.6389937211065
"54",14.1854774765517,13.3072722380253,14.2263062218671,13.2956909037096,14.6872298102811,14.2914728044779,13.717462919284,14.3595140716629,14.5120229135028,14.3544371876171,14.1046677543541,14.4997990461103,14.7427198963678,14.5918600362569,14.3292436340487,14.569991022881,14.6425376158821,14.6098033468005
"55",14.1402177253154,12.9946148917877,14.4204325072899,13.1060827223462,14.5738153121799,14.2839070103686,13.8533211077365,14.417359035392,14.5217062673856,14.2902750441091,14.295306497249,14.5516400334419,14.7725625566224,14.651695670593,14.3464164863016,14.4739683027211,14.54886457789,14.5031615534773
"56",14.269389071238,13.4340624981959,14.3036330305409,13.1552510196092,14.4297588257137,14.3061575601632,13.7904368015199,14.365943301612,14.5688714838207,14.1650450680287,13.9670720654104,14.7825151297224,14.9144332922639,14.6097731681405,14.3778982982753,14.4075003257319,14.6216018699287,14.5422959662199
"57",14.3857648121709,13.3825909170587,14.16691038028,13.2599469407324,14.4254225966811,14.3184890954669,14.0629845073548,14.4360083892666,14.5290652705959,14.3945518175849,14.3968653308419,14.5680238211777,14.8535408440975,14.7051301144037,14.4876835008358,14.4816976203599,14.5931472719247,14.5368388366949
"58",14.173072672666,13.543766868819,14.0294137770353,13.4301019877968,14.5287524622174,14.3603346918598,13.8570560385411,14.2942938977508,14.5733849004241,14.3104866247882,14.0123998648894,14.5496370799937,14.8678286687065,14.6936444867794,14.3025487474532,14.5294399343138,14.6323818260482,14.4373564973442
"59",14.2449376064695,13.2236639226952,14.4158192099143,13.4574000737722,14.5428485431132,14.3798649968458,13.7939417246934,14.3891579867193,14.5381523834334,14.2872329652995,13.9776647859355,14.5782354406738,14.8194574992513,14.6652750358826,14.3969408224758,14.3987561058208,14.6881655131877,14.4502497788869
"60",14.3860248896857,13.3016246800044,14.0739487391989,13.2814358984723,14.517994208747,14.3966931949442,13.640039751293,14.3614167177384,14.6180039593398,14.3273186590207,14.1731187894858,14.7341376596913,14.7421554599867,14.6729910649233,14.3280802100636,14.334097277773,14.7817102225913,14.6115780705337
"61",14.0787923405857,13.496747145145,14.2484077033402,13.1650160328766,14.3905397532712,14.2628482120261,13.7811233239173,14.3319792094051,14.5403603424709,14.4512508746089,14.1399395429537,14.6050630520106,14.7503876439039,14.6531453476284,14.435653764363,14.4033146801338,14.5967915069074,14.4711267605342
"62",14.3740433127461,12.8768105435247,14.2005185889177,13.0607477380064,14.4440907116047,14.4183777826677,13.9165478172943,14.4387883432435,14.6081441455312,14.4084180882628,13.9972627977493,14.6170560056675,14.8843459505466,14.5902539122305,14.2733994047141,14.5718073591496,14.7561575191133,14.5350616925513
"63",14.268211905454,12.8764805755524,14.2135319573516,13.2170021084663,14.5820997577594,14.2323239354765,13.806015660097,14.5005935724057,14.6214251675291,14.3309937524855,14.2988942724117,14.598783598619,14.6931692146552,14.6755431712967,14.187334921334,14.4633944157288,14.7406620722966,14.4848291243917
"64",14.3950785647964,13.0500255370319,14.2429420842092,13.3875811365867,14.536636756255,14.3051042668558,14.0873974303146,14.4592894353145,14.5853872775839,14.2473859064152,14.1572594897098,14.5478639937389,14.7134801005708,14.6317984538615,14.2684764101658,14.4106853943889,14.6313544756351,14.6679042333223
