"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"Nhat[83]",395324.212305752,2150780.4750433,4445810.83463113,2354862.80726782,1645653.66857941,NA,19652.4114350295,1.2,7012,0.00201160064910872,1.00215168120396
"Nhat[84]",501321.940403408,1935228.75271952,4117328.70021669,2229307.42908588,2317622.22042208,NA,28422.9468739543,1.2,6649,0.0211876717741707,1.00215657765257
"Nhat[85]",516244.821734863,1741327.97025045,3590165.51300084,1937711.98399207,1240856.23568943,NA,17628.7953382986,1.4,4954,0.0198146258808747,1.00895996731121
"Nhat[86]",360226.232027243,2121909.91171707,4018752.79086208,2254152.68465063,1367572.48810358,NA,14748.4345362504,1.1,8598,-0.0120361543927792,1.00119663100398
"Nhat[87]",318781.418749993,2129044.17104146,4431757.79965076,2320638.07872455,1487858.8939578,NA,19034.6643398171,1.3,6110,0.0195766801233802,1.00105720263954
"Nhat[88]",470399.275386432,2008824.78309538,3772044.8315303,2122198.96518548,1222357.59039888,NA,13035.7498907214,1.1,8793,-0.0239543332579849,1.00004293598175
"Nhat[89]",336069.315190453,2303327.54278626,6024581.37817825,2855240.70191592,2824456.53898748,NA,39885.4210462919,1.4,5015,0.0234724430168767,1.00175296864011
"Nhat[90]",656432.844124595,2731938.03292391,5113140.93875076,2903508.7032878,1746527.25337371,NA,20703.950862809,1.2,7116,0.00710230046207341,1.00028730329235
"Nhat[91]",308085.656939154,2950142.67316258,6915684.6542985,3408049.08987597,3301177.45454731,NA,45205.9585773413,1.4,5333,-0.000109516893679739,1.00068929664381
"Nhat[92]",273637.256611646,2620240.64210964,5810362.35391145,2984108.19293684,2849283.82960021,NA,33354.1290803095,1.2,7297,0.0100335802093878,1.00116234092933
"Nhat[93]",550343.003271144,2205826.28140179,5536408.80492119,2645588.09433813,2208005.53231094,NA,29618.5469110297,1.3,5557,0.0194847199535773,1.00139539615644
"Nhat[94]",642948.495447872,2970767.45796212,5484424.80454656,3175649.14489331,1720519.42816614,NA,21481.4458003036,1.2,6415,0.00939503928165846,1.00299608607435
"Nhat[95]",478767.359592122,2074215.50780726,3937623.15524528,2175894.30718702,1348515.76717367,NA,16936.1586395627,1.3,6340,0.0133678234431145,1.00355319478471
"Nhat[96]",29807.2328223364,1358465.35430326,5819289.36800522,2108827.42096877,4574530.54517644,NA,55825.171553956,1.2,6715,0.0217048721668594,1.00079882451184
"Nhat[97]",66502.8717170413,1539304.03895116,6467912.46597109,2395097.61724043,4167002.04167707,NA,73959.7151041902,1.8,3174,0.0189273999348517,1.00113862904141
"Nhat[98]",654959.0303222,2672979.47912621,5280374.86242189,2950717.12321666,1748637.44709312,NA,21415.5989498385,1.2,6667,0.0277277774676233,1.00168540117198
"Nhat[99]",331819.666304011,2497021.37978645,7310052.58293983,3197665.95125504,3339311.73698176,NA,44831.131174933,1.3,5548,0.0198047308226469,1.00024458835615
"Nhat[100]",534571.972884063,2645874.6076417,5187349.60078229,2848702.01403533,2726849.6888039,NA,29704.9498042793,1.1,8427,0.0156812172171153,1.00402151057938
"Nhat[101]",498002.013228085,2244342.78513378,5815512.64256356,2718384.32233493,2358227.20790836,NA,34130.7673806476,1.4,4774,0.0274721700312661,1.00134615897117
"Nhat[102]",698395.648650942,2323867.21319641,5114714.2527583,2644207.43053664,2061731.83273715,NA,22534.8163094113,1.1,8371,0.00703587686118494,1.00118231853743
"Nhat[103]",734723.312227121,2799767.70977214,5208751.10827891,2956220.64182633,1485579.15949914,NA,17319.7083511502,1.2,7357,0.000684844818810008,1.00290826986719
"Nhat[104]",505157.873671215,2033022.39049428,3956637.76331319,2208495.97114644,1354685.6037876,NA,15970.6806180108,1.2,7195,0.00676459902389662,1.00062125393263
"Nhat[105]",63105.806149243,1441804.23713154,4336145.74992918,1834860.92499483,1861894.87265697,NA,20218.6710651844,1.1,8480,0.00225737748578599,1.00055953320554
"Nhat[106]",76823.6505958711,1143521.89598073,4006500.88421013,1593128.50609278,2526273.33596125,NA,27965.7225868555,1.1,8160,0.00974263767048424,1.00101023346133
